R,G,B,Red,Yellow,Blue,Black,White
178,183,172,0,4.2,0,2.1,100
181,186,175,0,4.2,0,2.1,100
227,237,198,0,4.2,1.05,0,100
228,238,199,0,4.2,1.05,0,100
227,237,199,0,4.2,1.05,0,100
226,236,197,0,4.2,1.05,0,100
228,238,198,0,4.2,1.05,0,100
188,195,180,0,4.2,1.05,1.05,100
188,194,179,0,4.2,1.05,1.05,100
190,196,181,0,4.2,1.05,1.05,100
189,195,180,0,4.2,1.05,1.05,100
190,196,181,0,4.2,1.05,1.05,100
238,241,192,0,5.25,0,0,100
238,240,191,0,5.25,0,0,100
238,240,193,0,5.25,0,0,100
240,243,193,0,5.25,0,0,100
237,240,190,0,5.25,0,0,100
190,195,176,0,5.25,0,1.05,100
190,194,176,0,5.25,0,1.05,100
191,195,177,0,5.25,0,1.05,100
190,195,176,0,5.25,0,1.05,100
189,194,175,0,5.25,0,1.05,100
243,217,223,1.05,0,0,0,100
242,216,222,1.05,0,0,0,100
242,217,222,1.05,0,0,0,100
242,217,223,1.05,0,0,0,100
243,218,224,1.05,0,0,0,100
197,192,196,1.05,0,0,1.05,100
196,191,195,1.05,0,0,1.05,100
195,190,195,1.05,0,0,1.05,100
195,190,194,1.05,0,0,1.05,100
198,193,197,1.05,0,0,1.05,100
173,172,176,1.05,0,0,2.1,100
173,173,177,1.05,0,0,2.1,100
174,173,178,1.05,0,0,2.1,100
174,174,178,1.05,0,0,2.1,100
174,174,178,1.05,0,0,2.1,100
161,162,167,1.05,0,0,3.15,100
161,163,168,1.05,0,0,3.15,100
160,162,167,1.05,0,0,3.15,100
160,162,166,1.05,0,0,3.15,100
160,162,166,1.05,0,0,3.15,100
151,154,158,1.05,0,0,4.2,100
151,154,158,1.05,0,0,4.2,100
151,154,158,1.05,0,0,4.2,100
152,155,159,1.05,0,0,4.2,100
152,155,160,1.05,0,0,4.2,100
143,147,151,1.05,0,0,5.25,100
144,148,152,1.05,0,0,5.25,100
145,148,153,1.05,0,0,5.25,100
145,148,153,1.05,0,0,5.25,100
144,148,153,1.05,0,0,5.25,100
232,212,220,1.05,0,1.05,0,100
232,212,221,1.05,0,1.05,0,100
230,210,218,1.05,0,1.05,0,100
232,213,221,1.05,0,1.05,0,100
232,213,221,1.05,0,1.05,0,100
190,187,188,1.05,0,1.05,1.05,100
189,187,192,1.05,0,1.05,1.05,100
191,189,194,1.05,0,1.05,1.05,100
189,187,192,1.05,0,1.05,1.05,100
190,188,193,1.05,0,1.05,1.05,100
177,178,183,1.05,0,1.05,2.1,100
177,177,182,1.05,0,1.05,2.1,100
176,177,181,1.05,0,1.05,2.1,100
176,177,182,1.05,0,1.05,2.1,100
176,176,181,1.05,0,1.05,2.1,100
167,169,174,1.05,0,1.05,3.15,100
166,168,172,1.05,0,1.05,3.15,100
167,169,173,1.05,0,1.05,3.15,100
166,167,172,1.05,0,1.05,3.15,100
165,167,172,1.05,0,1.05,3.15,100
157,160,164,1.05,0,1.05,4.2,100
155,158,163,1.05,0,1.05,4.2,100
155,158,162,1.05,0,1.05,4.2,100
156,159,163,1.05,0,1.05,4.2,100
157,160,165,1.05,0,1.05,4.2,100
224,212,223,1.05,0,2.1,0,100
225,213,224,1.05,0,2.1,0,100
223,211,222,1.05,0,2.1,0,100
222,211,221,1.05,0,2.1,0,100
223,212,222,1.05,0,2.1,0,100
188,188,194,1.05,0,2.1,1.05,100
187,186,192,1.05,0,2.1,1.05,100
187,187,192,1.05,0,2.1,1.05,100
189,188,193,1.05,0,2.1,1.05,100
188,187,193,1.05,0,2.1,1.05,100
175,176,182,1.05,0,2.1,2.1,100
175,176,182,1.05,0,2.1,2.1,100
